id,name,mean_sub,mean_vi,,,,
UCkzI8yaQ6q2aDKS70EzJCLw,성수커플 - S.S Couple,1087464,,,,,UCMY30BnMbn6wElwLvDgcajw
UCA1TSDo1NXAGySZvqmX2A2Q,CJ ENM,1077835,,,,,UCN106RQxroojNzkEMuRC0BA
UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,1074323,,,,,UCOmHUn--16B90oW2L6FRR3A
UCFipx49muiJ8-d2YsnLlNVw,SUPER JUNIOR,1072908,,,,,UCPENYtHg4Xhmm6oX8zaQA7Q
UC22go5LdQEw-iDuxFb4C0hw,SBS TV동물농장x애니멀봐,1068518,,,,,UCPGFLUUESbnhkOTpIt71Awg
UCMVC92EOs9yDJG5JS-CMesQ,양팡 YangPang,1065430,,,,,UCPJmHR4CG_lRuVwKCo0kjjg
UCnx4Fi4cmkLGDiFfZ311wWw,SBS Kpopstar,1065348,,,,,UCPUeGC_AL-OnDQORKhRm6iA
UCRiGI5nRBYZjGZ0OuGBtqHA,소프,1061185,,,,,UCPde4guD9yFBRzkxk2PatoA
UCv0XxWH9xVxZ8pNyRkEQg8Q,딩고 스토리 / dingo story,1052217,,,,,UCQJuZxeDv2P05YHcC-tIEVQ
UCl9nsRuGenStMDZfD95w85A,BLACKHAND,1026820,,,,,UCT-_4GqC-yLY1xtTHhwY0hA
UCBIoXzDldCnpbM_7uyG0_Tg,HONG SOUND,1020566,,,,,UCTQVIXvcHrR9jYoJ6qaBAow
UCrfqKR--XsVWIcFA24YbC8Q,김이브님,1020165,,,,,UCVihezVtsguXEouYvtKmKYA
UCfTswP_uNy_h86pUjCU410A,HANA 김하나,1016260,,,,,UCWUwriihuQ_ybNrAOqbg3yg
UCj7mdvAJCRKvGBmcusOr9Ag,엠브로,999473,,,,,UCWxCyZibDIWIrGIgP25mbfw
UCicKQUi8h4NI81wDmrDBD4A,올리버쌤,998171,,,,,UCYDmx2Sfpnaxg488yBpZIGg
UCpg89Ys3E4BaLGgEEWVmI9g,땅끄부부,985623,,,,,UCYJrfuYXNqb5XSRd22XRwGw
UCyPwRgc3gQGqhk6RoGS50Ug,SHINee,978199,,,,,UCYgUhR7EGKauFXgJS0pckGg
UCOgGAfSUy5LvEyVS_LF5kdw,JOLLY,977757,,,,,UCYooECrv-fIXlPaDwEIaveA
UCHcDLOhRi_WkDJ3zOM3FehQ,양띵의 사생활,973706,,,,,UCYx9lhCw0u2-OoqVtEU0IMg
UC_BAw9COrMIa5dd_eWu_DSg,Boram Tube Friends보람튜브 친구친구,973077,,,,,UC_Dm4o5UrbPr2uvM7VPUR6g
UCW3Zwj1ntR4I8OxEJvTM5XA,스윗더미 . Sweet The MI,957350,,,,,UC_pwIXKXNm5KGhdEVzmY60A
UCu6mog947IWOXL23AzKlImw,브라보키즈_BRAVO KIDS,951618,,,,,UCaO6TYtlC8U5ttz62hTrZgg
UCuZu8NrpBG4WPXRi-hPBl-A,조효진 Hyojin,946727,,,,,UCayQxFAoFCvGariuQCtHRGQ
UChlgI3UHCOnwUGzWzbJ3H5w,YTN NEWS,942219,,,,,UCbD8EppRX3ZwJSou-TVo90A
UCHxKSivB6JLZ1SEMdxd1fAg,뜨뜨뜨뜨,927852,,,,,UCbWPYsyJX1-7uvfOw3LkLqw
UCoUDrzyCl1IwU602xdTsM-g,소근커플 S.K.Couple,921415,,,,,UCbuks6fmwRefCTGg9aNwgeQ
UCoDLLyiqum2JOBI4Dty8eUA,윰댕(yum-cast),921017,,,,,UCc4pDO0Bo6qiFSe7mpVguhQ
UCifWNRrXHbRYdgYYiqE9OyQ,[토이팩토리] ToyFactory(장난감TV),919145,,,,,UCcOYEm78CpaZQvPE6LtoSeA
UCOiM8FuCUFJkuUjCmB14rgg,Mochipeach,910352,,,,,UCcpAtOvcne_cX7gvarTgKsQ
UCIbRieQoLhVIkHHMEQo906A,레이디버그TV,897954,,,,,UCdet8uJfTFlACtY05BQmJ1Q
UCLLlKJZVbeUTzwjVM7Lx9kg,TSENT2008,882337,,,,,UCe52oeb7Xv_KaJsEzcKXJJg
UCTA-2mGsWmVYqZHBvvM9Vmg,StimBoy스팀보이,879695,,,,,UCeLPm9yH_a_QH8n6445G-Ow
UC-CVBl3-ryi3GtZBXtc2_IA,CNBLUE (씨엔블루),878823,,,,,UCem8l1w4OWhkqpoOg1SB4_w
UCWCKqaOsUJ0OzjC01ATQmPA,유정호tv,869336,,,,,UCepUWUpH45hRTi-QePdq1Bg
UCkTou95-Hb_GJ6IG5MxuyDA,리아루아 RiaRua,867184,,,,,UCf9sl-IcwNXDqWwWwp4vEwg
UCxO1kNtnTxNhhN_R4z4RkIQ,DICKHUNTER딕헌터??,862349,,,,,UCfkXDY7vwkcJ8ddFGz8KusA
UCmW1Pq56lA-k-GWpX1z8WPg,Apink (에이핑크),851769,,,,,UCg-p3lQIqmhh7gHpyaOmOiQ
